,movieId,title,userId,rating
17761372,27773,Old Boy (2003),94136,3.0
18506363,48520,Employee of the Month (2006),90500,2.5
8206674,1584,Contact (1997),55813,4.0
3711238,553,Tombstone (1993),26727,3.0
701759,70,From Dusk Till Dawn (1996),12208,3.0
8883626,1831,Lost in Space (1998),91516,4.0
9082869,1923,There's Something About Mary (1998),85913,0.5
1898450,292,Outbreak (1995),66335,3.0
7578957,1371,Star Trek: The Motion Picture (1979),43459,4.0
10797275,2467,"Name of the Rose, The (Name der Rose, Der) (1986)",15937,2.0
19959247,109963,"French Minister, The (Quai d'Orsay) (2013)",43661,3.5
5639083,1073,Willy Wonka & the Chocolate Factory (1971),131968,3.0
17757514,27773,Old Boy (2003),9397,4.5
9141897,1952,Midnight Cowboy (1969),99465,4.0
811365,104,Happy Gilmore (1996),73984,3.5
309750,23,Assassins (1995),136521,4.0
10076634,2204,Saboteur (1942),40208,4.0
4106692,595,Beauty and the Beast (1991),51891,4.0
17431676,8644,"I, Robot (2004)",100302,4.0
3608578,540,Sliver (1993),31899,3.0
13415526,3578,Gladiator (2000),61651,4.0
11620668,2749,"Morning After, The (1986)",59805,4.0
12906864,3273,Scream 3 (2000),82160,2.0
2498651,356,Forrest Gump (1994),85389,5.0
18212514,41569,King Kong (2005),14680,3.5
11440059,2706,American Pie (1999),71731,3.0
15096783,4878,Donnie Darko (2001),50253,3.5
18275436,44191,V for Vendetta (2006),80939,3.5
5954446,1135,Private Benjamin (1980),35024,5.0
18676431,52694,Mr. Bean's Holiday (2007),34995,2.0
13869309,3863,"Cell, The (2000)",130715,3.5
8680972,1721,Titanic (1997),73628,2.0
18858387,55820,No Country for Old Men (2007),68613,4.0
6412512,1210,Star Wars: Episode VI - Return of the Jedi (1983),31786,4.5
3760583,583,Dear Diary (Caro Diario) (1994),125339,4.0
13617389,3704,Mad Max Beyond Thunderdome (1985),109385,3.0
14001417,3952,"Contender, The (2000)",48697,3.0
19067071,60126,Get Smart (2008),128356,4.0
11004754,2561,True Crime (1999),117580,2.0
15483340,5171,"Time Machine, The (2002)",65644,2.0
6936538,1258,"Shining, The (1980)",102626,4.0
11643882,2762,"Sixth Sense, The (1999)",22096,4.0
14214616,4019,Finding Forrester (2000),113050,4.0
8274586,1603,Mimic (1997),49356,4.0
3403232,509,"Piano, The (1993)",132,3.5
14239815,4023,"Family Man, The (2000)",52099,3.0
10217647,2291,Edward Scissorhands (1990),49212,5.0
10573270,2395,Rushmore (1998),103989,4.0
16964678,7156,"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",97002,5.0
13671675,3744,Shaft (2000),47139,3.0
12596018,3124,Agnes Browne (1999),76163,3.0
479228,39,Clueless (1995),68040,5.0
6157836,1196,Star Wars: Episode V - The Empire Strikes Back (1980),81988,5.0
13624848,3707,9 1/2 Weeks (Nine 1/2 Weeks) (1986),126711,3.0
19426742,72998,Avatar (2009),130049,4.0
5525557,1036,Die Hard (1988),114926,4.0
3893592,589,Terminator 2: Judgment Day (1991),62338,4.0
5679864,1080,Monty Python's Life of Brian (1979),58222,5.0
17828026,30812,"Aviator, The (2004)",63061,4.5
8225969,1587,Conan the Barbarian (1982),12158,4.5
5095722,912,Casablanca (1942),112285,2.5
12001086,2915,Risky Business (1983),111573,4.0
11913447,2863,"Hard Day's Night, A (1964)",42424,3.0
7092817,1270,Back to the Future (1985),93626,4.0
17320018,8371,"Chronicles of Riddick, The (2004)",99408,3.5
10145188,2268,"Few Good Men, A (1992)",14948,4.0
16940633,7153,"Lord of the Rings: The Return of the King, The (2003)",55317,3.5
17947975,33171,Mysterious Skin (2004),66088,3.0
19107698,61323,Burn After Reading (2008),27119,5.0
17402368,8636,Spider-Man 2 (2004),44060,3.5
7579640,1371,Star Trek: The Motion Picture (1979),53554,3.0
2668131,370,Naked Gun 33 1/3: The Final Insult (1994),24571,4.0
12109323,2948,From Russia with Love (1963),131830,1.0
9452488,2012,Back to the Future Part III (1990),27854,3.5
8338574,1617,L.A. Confidential (1997),47766,5.0
18225785,41997,Munich (2005),58222,2.0
4840721,832,Ransom (1996),77200,3.0
10586511,2396,Shakespeare in Love (1998),55108,4.0
9166699,1954,Rocky (1976),134690,3.0
11148220,2613,Night of the Comet (1984),105295,4.0
9671248,2077,"Journey of Natty Gann, The (1985)",130459,3.5
8803168,1777,"Wedding Singer, The (1998)",58754,4.0
11779585,2801,Oscar and Lucinda (a.k.a. Oscar & Lucinda) (1997),60344,3.5
